,dailySwapVolumeSnapshots_volumeUSD,dailySwapVolumeSnapshots_datetime
0,3464.445940357627,2022-05-06
1,385608.2302001546,2022-05-06
2,86308.26051725463,2022-05-05
3,1075100.9481728969,2022-05-05
4,20128.83538569194,2022-05-04
5,112671.38564402524,2022-05-04
6,905639.039211306,2022-05-04
7,51004.99134306484,2022-05-03
8,45556.31247619807,2022-05-03
9,418734.42692201375,2022-05-03
10,1359.397125721617,2022-05-02
11,135456.333661736,2022-05-02
12,654.3819088507688,2022-05-01
13,6784.625091338851,2022-05-01
14,101656.18191202547,2022-05-01
15,250667.88573303694,2022-04-30
16,21163.876471377804,2022-04-29
17,582488.8239482839,2022-04-29
18,544.8678589230769,2022-04-28
19,50560.240318056756,2022-04-28
20,412710.40560073673,2022-04-28
21,119.6405915,2022-04-27
22,149377.17498829344,2022-04-27
23,25091.202655513778,2022-04-26
24,411931.04749723244,2022-04-26
25,64897.06282211009,2022-04-25
26,352287.30475297227,2022-04-25
27,40591.90593320749,2022-04-24
28,164526.34245241806,2022-04-24
29,0.007541162344785911,2022-04-23
30,527437.8116079947,2022-04-23
31,40133.551371849055,2022-04-22
32,0.10140125056822827,2022-04-22
33,797873.3233606976,2022-04-22
34,135640.27366323178,2022-04-21
35,20309.088254717386,2022-04-21
36,807281.4664817681,2022-04-21
37,68165.369951,2022-04-20
38,362067.0917825637,2022-04-20
39,929508.6518210202,2022-04-20
40,20129.73626129082,2022-04-19
41,392155.36154367175,2022-04-19
42,199164.19604201123,2022-04-18
43,134996.7308475613,2022-04-17
44,3029.1400240808557,2022-04-16
45,131160.73743758278,2022-04-16
46,17163.307079141403,2022-04-15
47,130290.05048999486,2022-04-15
48,30061.85670731198,2022-04-14
49,160774.62324607524,2022-04-14
50,65106.53698287021,2022-04-13
51,221396.1651408648,2022-04-12
52,393239.8331676088,2022-04-11
53,71904.343397547,2022-04-10
54,63302.28266168203,2022-04-09
55,208930.3122500999,2022-04-08
56,100791.87601825595,2022-04-07
57,172037.5223329509,2022-04-06
58,375781.5080213381,2022-04-05
59,112532.86442260632,2022-04-04
60,124484.6444350034,2022-04-03
61,133562.7125259981,2022-04-02
62,320473.5541112041,2022-04-01
63,519239.49971951055,2022-03-31
64,215531.1407347518,2022-03-30
65,124466.90828140621,2022-03-29
66,159194.96921023438,2022-03-28
67,136841.53203507638,2022-03-27
68,69423.22381420872,2022-03-26
69,130506.26791039966,2022-03-25
70,147848.94773463596,2022-03-24
71,215992.7539923903,2022-03-23
72,55950.209351933365,2022-03-22
73,294596.2560266216,2022-03-21
74,260690.5313867925,2022-03-20
75,304993.591978647,2022-03-19
76,295187.772745796,2022-03-18
77,462129.5970462835,2022-03-17
78,170173.8716544633,2022-03-16
79,39139.43334626432,2022-03-15
80,37618.28162125061,2022-03-14
81,77917.94666266868,2022-03-13
82,109127.47916439311,2022-03-12
83,33371.30717318476,2022-03-11
84,109134.98436936748,2022-03-10
85,197190.79164457382,2022-03-09
86,19585.766836102197,2022-03-08
87,98965.01153287302,2022-03-07
88,37917.197517368724,2022-03-06
89,53021.15767464867,2022-03-05
90,193527.78197827612,2022-03-04
91,181845.52578952038,2022-03-03
92,222909.7971253975,2022-03-02
93,340462.035365914,2022-03-01
94,607079.0509504621,2022-02-28
95,127320.2176780567,2022-02-27
96,344842.5759641208,2022-02-26
97,73291.39901207389,2022-02-25
98,133895.3665926064,2022-02-24
99,62658.252899426916,2022-02-23
100,30240.766439945037,2022-02-22
101,120229.46010164935,2022-02-21
102,104760.20657932393,2022-02-20
103,102553.72649747413,2022-02-19
104,263817.5968448018,2022-02-18
105,176150.13010641205,2022-02-17
106,202756.1447562211,2022-02-16
107,75273.15608921144,2022-02-15
108,40401.13221725439,2022-02-14
109,52168.23893239239,2022-02-13
110,90934.93489094441,2022-02-12
111,149973.0168554477,2022-02-11
112,100630.09870726125,2022-02-10
113,27032.310978697624,2022-02-09
114,81797.34044312076,2022-02-08
115,85214.77416401198,2022-02-07
116,44353.473023876664,2022-02-06
117,45527.04034011141,2022-02-05
118,270808.55426272366,2022-02-04
119,83038.81368258205,2022-02-03
120,97261.54323254267,2022-02-02
121,66996.00650593913,2022-02-01
122,300369.5942163608,2022-01-31
123,272900.49732670345,2022-01-30
124,163385.07649456084,2022-01-29
125,82754.3929464381,2022-01-28
126,115202.66810775362,2022-01-27
127,157794.34118879103,2022-01-26
128,189395.3404744833,2022-01-25
129,166036.40177811604,2022-01-24
130,28920.2186562241,2022-01-23
131,35777.987823643976,2022-01-22
132,78412.48546455955,2022-01-21
133,148497.03926259946,2022-01-20
134,332731.2752280921,2022-01-19
135,62902.598847358764,2022-01-18
136,76.96446345236551,2022-01-17
