,dailySwapVolumeSnapshots_volumeUSD,dailySwapVolumeSnapshots_datetime
0,14193.730879,2022-05-06
1,15976.727429851533,2022-05-06
2,77855.32540828892,2022-05-06
3,713.6600285,2022-05-06
4,104351.62538446816,2022-05-06
5,11452.325779829453,2022-05-06
6,105737.05984070995,2022-05-06
7,287928.470587,2022-05-06
8,55939.91949819188,2022-05-06
9,6574866.007423939,2022-05-06
10,5291.938209459022,2022-05-06
11,241358.5176175422,2022-05-06
12,45652.669738,2022-05-05
13,34783.813930922726,2022-05-05
14,94166.94260031646,2022-05-05
15,549.6095525,2022-05-05
16,231465.88660587944,2022-05-05
17,305771.7438363989,2022-05-05
18,75963.98898375878,2022-05-05
19,258509.9137,2022-05-05
20,2021.2959302226232,2022-05-05
21,0.0,2022-05-05
22,8988735.253797429,2022-05-05
23,9878.975296306653,2022-05-05
24,3437388.6835043835,2022-05-05
25,1206.3395770998932,2022-05-05
26,0.0,2022-05-05
27,10296.1818875,2022-05-04
28,37636.21245475104,2022-05-04
29,57957.59475721354,2022-05-04
30,715.3686854099163,2022-05-04
31,888662.671583893,2022-05-04
32,412191.16994213837,2022-05-04
33,139749.76854466007,2022-05-04
34,223114.140828,2022-05-04
35,48.22742447524771,2022-05-04
36,63.984456112778055,2022-05-04
37,8474641.586097458,2022-05-04
38,10174.054204171613,2022-05-04
39,71805.59169288343,2022-05-04
40,185.8664909119478,2022-05-04
41,10022.412062,2022-05-03
42,18618.638908164827,2022-05-03
43,124967.8518966928,2022-05-03
44,3068.4377985,2022-05-03
45,1645549.9465260042,2022-05-03
46,4964098.492300263,2022-05-03
47,22436.469638921844,2022-05-03
48,27570.68764800738,2022-05-03
49,249082.6060015,2022-05-03
50,1367.0463806611754,2022-05-03
51,93.01851578319783,2022-05-03
52,12964657.9987333,2022-05-03
53,3390.966053871749,2022-05-03
54,103562.7419281139,2022-05-03
55,101.83945400341999,2022-05-03
56,4.035597372811669,2022-05-03
57,496.631295,2022-05-02
58,31799.971951211694,2022-05-02
59,27919.182993711293,2022-05-02
60,71742.49420866717,2022-05-02
61,1076644.9689373595,2022-05-02
62,753399.3662262184,2022-05-02
63,153660.39593673282,2022-05-02
64,370127.473305,2022-05-02
65,12308.36565251606,2022-05-02
66,19028115.405789126,2022-05-02
67,6923.31662554157,2022-05-02
68,86318.85006570068,2022-05-02
69,484.00747177130035,2022-05-02
70,3.4825380868424927,2022-05-02
71,6162.1213045,2022-05-01
72,13360.611293524891,2022-05-01
73,132487.68275988547,2022-05-01
74,586.1463887574372,2022-05-01
75,726335.7272803291,2022-05-01
76,50987.44778297641,2022-05-01
77,77587.08384280844,2022-05-01
78,724120.2730055,2022-05-01
79,29387.444756900353,2022-05-01
80,11783696.21094756,2022-05-01
81,5053.396350692877,2022-05-01
82,7579762.715479913,2022-05-01
83,15.173336546185245,2022-05-01
84,5.445326452215886,2022-05-01
85,22585.95060593882,2022-04-30
86,37622.004032817546,2022-04-30
87,399.73837694895445,2022-04-30
88,531997.6859495338,2022-04-30
89,4037.981201755694,2022-04-30
90,16739.595756923005,2022-04-30
91,390925.19171,2022-04-30
92,465.7330682291786,2022-04-30
93,3856178.6040253364,2022-04-30
94,1.0861833943605776,2022-04-30
95,4758.721294471453,2022-04-30
96,410651.0771202829,2022-04-30
97,35.36607912817272,2022-04-30
98,542.7895385,2022-04-29
99,20673.469552060367,2022-04-29
100,60078.3601727602,2022-04-29
101,3855.8910006237893,2022-04-29
102,528911.2133358608,2022-04-29
103,27371.93399103887,2022-04-29
104,704327.4065270664,2022-04-29
105,188421.0166375,2022-04-29
106,10859342.210705547,2022-04-29
107,426.2732373248645,2022-04-29
108,6208.314536632095,2022-04-29
109,596963.4975389316,2022-04-29
110,2015.5636441160525,2022-04-29
111,892.3022325,2022-04-28
112,30244.760962422042,2022-04-28
113,55629.029583623495,2022-04-28
114,121.9575825,2022-04-28
115,474606.73303558293,2022-04-28
116,486061.10002859094,2022-04-28
117,83496.27878938864,2022-04-28
118,259328.3740755,2022-04-28
119,236.93344566598154,2022-04-28
120,0.0,2022-04-28
121,16850178.349393502,2022-04-28
122,10066.84738367177,2022-04-28
123,771657.6270370241,2022-04-28
124,110.80493513943634,2022-04-28
125,9.7970545,2022-04-27
126,79560.94249066287,2022-04-27
127,26125.25379042105,2022-04-27
128,561267.6148455751,2022-04-27
129,45765.18207506751,2022-04-27
130,74607.78887223414,2022-04-27
131,417308.2302275,2022-04-27
132,7815.077287618855,2022-04-27
133,0.0,2022-04-27
134,72.14607036388027,2022-04-27
135,25616677.6165417,2022-04-27
136,8472.150872969696,2022-04-27
137,45939.27615277977,2022-04-27
138,492.54593786793976,2022-04-27
139,381.6814405,2022-04-26
140,25687.60150386316,2022-04-26
141,131938.8651998619,2022-04-26
142,519.0397035188105,2022-04-26
143,311811.1640854411,2022-04-26
144,137984.7407477208,2022-04-26
145,69250.59447342456,2022-04-26
146,255013.1635735,2022-04-26
147,42788.53365304976,2022-04-26
148,0.0,2022-04-26
149,8861120.335717455,2022-04-26
150,173.08315951610626,2022-04-26
151,11199.830826445077,2022-04-26
152,591653.5926978377,2022-04-26
153,550.682993489953,2022-04-26
154,4804.9623675,2022-04-25
155,19484.01119600692,2022-04-25
156,3098.367248856624,2022-04-25
157,614.7527925,2022-04-25
158,283985.0374784267,2022-04-25
159,108342.78878207954,2022-04-25
160,284836.50446572085,2022-04-25
161,325516.9309835,2022-04-25
162,0.0,2022-04-25
163,10348301.06050523,2022-04-25
164,636.4504865265244,2022-04-25
165,9857.924490460633,2022-04-25
166,804188.3529925727,2022-04-25
167,226.8737070815095,2022-04-25
168,992.7966945,2022-04-24
169,30712.85131785345,2022-04-24
170,8027.043203018466,2022-04-24
171,665.6498278423866,2022-04-24
172,372225.9804491831,2022-04-24
173,8044.785320590021,2022-04-24
174,22926.522946110435,2022-04-24
175,87962.0867665,2022-04-24
176,3892754.266520629,2022-04-24
177,3302.563390998179,2022-04-24
178,166984.02944668685,2022-04-24
179,97.87920471343088,2022-04-24
180,428.0916385,2022-04-23
181,11838.108567886575,2022-04-23
182,85343.64121201354,2022-04-23
183,679.730331405466,2022-04-23
184,238258.8176942573,2022-04-23
185,86466.14989754431,2022-04-23
186,21456.140859606985,2022-04-23
187,660022.0995445,2022-04-23
188,569.3444751861017,2022-04-23
189,3092550.7282249774,2022-04-23
190,2404.0012403747364,2022-04-23
191,462253.6395590894,2022-04-23
192,52.28222956469956,2022-04-23
193,22021.2723225,2022-04-22
194,19684.50521503572,2022-04-22
195,1027.8340438440894,2022-04-22
196,2479.1137755,2022-04-22
197,449248.4451699328,2022-04-22
198,214077.1300122332,2022-04-22
199,183932.64643545856,2022-04-22
200,290825.8781985,2022-04-22
201,8177524.998495443,2022-04-22
202,9032.461776149372,2022-04-22
203,809192.0549763215,2022-04-22
204,150.0575157746513,2022-04-22
205,1.7838222112079063,2022-04-22
206,24208.651138,2022-04-21
207,40374.69484300808,2022-04-21
208,18010.08876574109,2022-04-21
209,4807.208986896213,2022-04-21
210,189159.6701985729,2022-04-21
211,54550.13190213577,2022-04-21
212,356608.7701263217,2022-04-21
213,298321.392815,2022-04-21
214,8607218.570686994,2022-04-21
215,19850.50712411326,2022-04-21
216,788573.8760728614,2022-04-21
217,57.55549565625179,2022-04-21
218,20600.662635085,2022-04-20
219,19259.181218794227,2022-04-20
220,2664.331279855804,2022-04-20
221,61573.96404501281,2022-04-20
222,206208.74140157748,2022-04-20
223,259720.37683147631,2022-04-20
224,144234.173571,2022-04-20
225,795.1008390595678,2022-04-20
226,8007811.407127431,2022-04-20
227,15272.76841740956,2022-04-20
228,496653.0820211603,2022-04-20
229,755.079479085976,2022-04-20
230,26630.036443,2022-04-19
231,42753.13774333527,2022-04-19
