,uniswapDayDatas_volumeUSD,uniswapDayDatas_datetime
0,78655091.39769733,2022-05-06
1,106779388.93127277,2022-05-05
2,88805605.98217174,2022-05-04
3,66855364.830772325,2022-05-03
4,91031755.6511648,2022-05-02
5,96121593.06144181,2022-05-01
6,75135867.92632835,2022-04-30
7,89792797.90093097,2022-04-29
8,96299761.39167848,2022-04-28
9,75920740.14872886,2022-04-27
10,79179200.6847703,2022-04-26
11,78391711.74026734,2022-04-25
12,42805369.778501645,2022-04-24
13,40617218.94659735,2022-04-23
14,101362845.37068988,2022-04-22
15,74035565.0304311,2022-04-21
16,71790951.42447606,2022-04-20
17,61165536.633576326,2022-04-19
18,79013100.23009038,2022-04-18
19,39647563.84650145,2022-04-17
20,30774857.797537662,2022-04-16
21,39703701.6659448,2022-04-15
22,58869392.168325044,2022-04-14
23,65606231.403654926,2022-04-13
24,91655860.56084219,2022-04-12
25,95511510.07569323,2022-04-11
26,39492991.5890701,2022-04-10
27,42590732.34857794,2022-04-09
28,75484018.76615243,2022-04-08
29,76424091.7798059,2022-04-07
30,111471699.00799628,2022-04-06
31,59694748.27442675,2022-04-05
32,71860744.20336932,2022-04-04
33,61915655.569528885,2022-04-03
34,83092773.39833245,2022-04-02
35,89544151.98902759,2022-04-01
36,96493194.04423057,2022-03-31
37,76628572.54862615,2022-03-30
38,79245461.76755096,2022-03-29
39,75215446.64358106,2022-03-28
40,49766497.68432125,2022-03-27
41,36078714.02102912,2022-03-26
42,69537088.0195911,2022-03-25
43,74930344.81102563,2022-03-24
44,54911242.94406783,2022-03-23
45,59265159.877693005,2022-03-22
46,53224398.278504275,2022-03-21
47,47254077.08666329,2022-03-20
48,43658777.215681635,2022-03-19
49,53698816.96475241,2022-03-18
50,50082290.68738351,2022-03-17
51,97151127.97272892,2022-03-16
52,56452293.90933091,2022-03-15
53,57589277.93718369,2022-03-14
54,43507946.145712,2022-03-13
55,29592371.668052096,2022-03-12
56,67890265.395157,2022-03-11
57,68038545.34366138,2022-03-10
58,74009753.33326696,2022-03-09
59,83497079.52097742,2022-03-08
60,82057283.69212505,2022-03-07
61,57411246.80848497,2022-03-06
62,44915209.00656794,2022-03-05
63,80891412.34092838,2022-03-04
64,73806231.53115976,2022-03-03
65,109019660.57818261,2022-03-02
66,103319879.99590728,2022-03-01
67,108073194.12532249,2022-02-28
68,84529079.74300268,2022-02-27
69,62309580.017947,2022-02-26
70,105931206.98084353,2022-02-25
71,151286727.08588618,2022-02-24
72,93098714.39543027,2022-02-23
73,100405711.84917931,2022-02-22
74,122486972.1747671,2022-02-21
75,73712886.833896,2022-02-20
76,57746363.74202302,2022-02-19
77,94566727.58771381,2022-02-18
78,101322857.89318559,2022-02-17
79,88804371.44008629,2022-02-16
80,79979086.98755781,2022-02-15
81,80092284.82467076,2022-02-14
82,54676795.7265718,2022-02-13
83,76691996.33799693,2022-02-12
84,111647279.4977515,2022-02-11
85,122114492.88253537,2022-02-10
86,87581386.99695954,2022-02-09
87,117852446.86874983,2022-02-08
88,118523556.04677899,2022-02-07
89,57090070.98780089,2022-02-06
90,64030718.422437705,2022-02-05
91,76665787.50123115,2022-02-04
92,62900873.580102295,2022-02-03
93,65530960.66253101,2022-02-02
94,71318176.09126021,2022-02-01
95,60376512.47688089,2022-01-31
96,51153110.464886956,2022-01-30
97,65009987.28112466,2022-01-29
98,99372450.22770233,2022-01-28
99,98949366.1952017,2022-01-27
100,125515052.33146837,2022-01-26
101,84507069.5346381,2022-01-25
102,98620690.39924532,2022-01-24
103,74034065.6641052,2022-01-23
104,98426142.42220607,2022-01-22
105,112555691.35471597,2022-01-21
106,58441922.88924781,2022-01-20
107,47663203.039640956,2022-01-19
108,57976717.23150021,2022-01-18
109,70626941.77678977,2022-01-17
110,45969022.87686404,2022-01-16
111,49633343.88144859,2022-01-15
112,61660128.35575674,2022-01-14
113,72347173.19009481,2022-01-13
114,69630382.77491502,2022-01-12
115,78255614.99202871,2022-01-11
116,78699806.71848847,2022-01-10
117,53078329.06303284,2022-01-09
118,61450387.67139392,2022-01-08
119,64760780.59143239,2022-01-07
120,62685504.63069326,2022-01-06
121,59780539.51312652,2022-01-05
122,49717812.81420923,2022-01-04
123,50670159.25827148,2022-01-03
124,40627972.5513053,2022-01-02
125,45193409.839274056,2022-01-01
126,61527063.81915596,2021-12-31
127,58466889.99520786,2021-12-30
128,67038073.34114617,2021-12-29
129,73699006.10359454,2021-12-28
130,50376870.13628725,2021-12-27
131,60681471.60626931,2021-12-26
132,33136279.338813793,2021-12-25
133,30211866.542811286,2021-12-24
134,18165613.360739503,2021-12-23
135,412332.10936585633,2021-12-22
136,6931.678345450814,2021-12-21
137,0.0,2021-12-20
