,uniswapDayDatas_volumeUSD,uniswapDayDatas_datetime
0,22779928.480461508,2022-05-06
1,41137232.374432966,2022-05-05
2,36368854.87951643,2022-05-04
3,25437187.23363429,2022-05-03
4,36067617.69637582,2022-05-02
5,20401127.68834573,2022-05-01
6,21580741.13333531,2022-04-30
7,29012912.78264229,2022-04-29
8,36128398.26735523,2022-04-28
9,31456842.671117917,2022-04-27
10,33263955.94098694,2022-04-26
11,41903501.46674917,2022-04-25
12,19063079.46868306,2022-04-24
13,22491862.68926428,2022-04-23
14,31386011.19660497,2022-04-22
15,34484202.12652247,2022-04-21
16,38229725.23280117,2022-04-20
17,29632056.862010885,2022-04-19
18,33122502.712269142,2022-04-18
19,24246337.36840569,2022-04-17
20,18967283.167611685,2022-04-16
21,24215972.252355747,2022-04-15
22,30581470.471814767,2022-04-14
23,41984469.35579317,2022-04-13
24,55285261.72223411,2022-04-12
25,61638575.63915728,2022-04-11
26,24667185.97624202,2022-04-10
27,21534564.75565676,2022-04-09
28,49560418.174890846,2022-04-08
29,34806348.10368578,2022-04-07
30,52577836.34895153,2022-04-06
31,44779763.76159073,2022-04-05
32,51105532.60805469,2022-04-04
33,40131972.32802058,2022-04-03
34,48248227.393368,2022-04-02
35,68602748.09806933,2022-04-01
36,76539715.36682853,2022-03-31
37,45484491.40827954,2022-03-30
38,53631601.15198171,2022-03-29
39,41671722.76127805,2022-03-28
40,22890315.6506789,2022-03-27
41,15249230.262836756,2022-03-26
42,34178223.77785779,2022-03-25
43,46623254.458747655,2022-03-24
44,35478309.12127314,2022-03-23
45,31889499.24412269,2022-03-22
46,34409798.76363467,2022-03-21
47,25215320.651536487,2022-03-20
48,20800312.322248247,2022-03-19
49,34157849.763125345,2022-03-18
50,24330937.029119734,2022-03-17
51,45373628.39063852,2022-03-16
52,25034285.868572995,2022-03-15
53,30991918.572417434,2022-03-14
54,14649699.810255367,2022-03-13
55,11426787.38987242,2022-03-12
56,32160538.982529163,2022-03-11
57,29790652.792661097,2022-03-10
58,28626653.400500923,2022-03-09
59,36781618.73064882,2022-03-08
60,36341975.02257177,2022-03-07
61,22912142.533645175,2022-03-06
62,19918180.110888425,2022-03-05
63,41982072.090083286,2022-03-04
64,33435634.534977403,2022-03-03
65,37535962.988356784,2022-03-02
66,34244622.82709344,2022-03-01
67,33180115.428355962,2022-02-28
68,34615263.388210155,2022-02-27
69,20830491.95947503,2022-02-26
70,42096339.388842836,2022-02-25
71,79465976.47969534,2022-02-24
72,26547213.58415759,2022-02-23
73,38611975.8718425,2022-02-22
74,33089108.49582546,2022-02-21
75,23959453.06504895,2022-02-20
76,15857183.739072071,2022-02-19
77,27873069.061698005,2022-02-18
78,33071162.961118177,2022-02-17
79,23966537.262613606,2022-02-16
80,21655600.32126432,2022-02-15
81,25422652.158925638,2022-02-14
82,13522932.089269375,2022-02-13
83,18826293.87683903,2022-02-12
84,34337696.86289688,2022-02-11
85,30827392.111284126,2022-02-10
86,25724598.064194303,2022-02-09
87,21070189.467956718,2022-02-08
88,31516687.718229022,2022-02-07
89,26733037.200847883,2022-02-06
90,16027209.52192586,2022-02-05
91,26349449.154840864,2022-02-04
92,20236386.35488753,2022-02-03
93,22370560.73316375,2022-02-02
94,15427564.801717484,2022-02-01
95,26500459.322460808,2022-01-31
96,31799772.203399807,2022-01-30
97,24531193.875382144,2022-01-29
98,38734738.9023316,2022-01-28
99,47782596.91442353,2022-01-27
100,43290706.0201053,2022-01-26
101,45894980.017438546,2022-01-25
102,62637967.22151092,2022-01-24
103,25984769.73496311,2022-01-23
104,66111568.728128634,2022-01-22
105,80581431.83537844,2022-01-21
106,45015025.000412814,2022-01-20
107,35169120.195944495,2022-01-19
108,44870170.93701866,2022-01-18
109,54743361.201989815,2022-01-17
110,37013860.83961661,2022-01-16
111,35189723.73653032,2022-01-15
112,46847960.03248008,2022-01-14
113,46463703.337871045,2022-01-13
114,48609954.05543758,2022-01-12
115,43449362.851092674,2022-01-11
116,75099956.06405292,2022-01-10
117,25695480.230581388,2022-01-09
118,56222497.5259004,2022-01-08
119,89525769.73506345,2022-01-07
120,64482775.87571887,2022-01-06
121,75237157.78776555,2022-01-05
122,42962036.23644757,2022-01-04
123,39935644.84599988,2022-01-03
124,32021930.94942154,2022-01-02
125,24983174.153536767,2022-01-01
126,32548124.602357123,2021-12-31
127,28566558.01646007,2021-12-30
128,28911352.113618914,2021-12-29
129,33976018.94553604,2021-12-28
130,17508435.998419728,2021-12-27
131,17496342.229200974,2021-12-26
132,21418838.537540726,2021-12-25
133,28509317.77329589,2021-12-24
134,35543486.22967458,2021-12-23
135,23753061.272439823,2021-12-22
136,22938914.7870094,2021-12-21
137,39190661.70243248,2021-12-20
138,32962608.238135632,2021-12-19
139,29117072.846761838,2021-12-18
140,37904536.39567057,2021-12-17
141,32521068.30856713,2021-12-16
142,59900966.121431895,2021-12-15
143,34600321.99503625,2021-12-14
144,66148845.34824041,2021-12-13
145,28172874.170061562,2021-12-12
146,50336661.481562994,2021-12-11
147,91416981.37675793,2021-12-10
148,95874275.38757184,2021-12-09
149,101468645.87671022,2021-12-08
150,42914414.73590929,2021-12-07
151,97519842.23402065,2021-12-06
152,69067385.56860001,2021-12-05
153,91587120.41439071,2021-12-04
154,66945971.59152195,2021-12-03
155,46188525.11453572,2021-12-02
156,55716775.29694571,2021-12-01
157,76944587.02111284,2021-11-30
