,uniswapDayDatas_volumeUSD,uniswapDayDatas_datetime
0,6254112.699458961,2022-05-06
1,12021350.035501994,2022-05-05
2,12757819.32430235,2022-05-04
3,7228454.060809153,2022-05-03
4,7167320.797695411,2022-05-02
5,5423384.071271972,2022-05-01
6,6070151.657379806,2022-04-30
7,11355087.454114342,2022-04-29
8,9920079.478368038,2022-04-28
9,9543533.728464091,2022-04-27
10,16167894.70854645,2022-04-26
11,9962794.565663,2022-04-25
12,6836754.845670089,2022-04-24
13,6041230.427611717,2022-04-23
14,10201881.785805183,2022-04-22
15,16159565.656216009,2022-04-21
16,20030585.403571844,2022-04-20
17,10512186.520044835,2022-04-19
18,5750461.710778528,2022-04-18
19,4826803.603591957,2022-04-17
20,3714179.6253899294,2022-04-16
21,3726849.574424812,2022-04-15
22,6545554.122568507,2022-04-14
23,7055004.899272013,2022-04-13
24,8014462.075249422,2022-04-12
25,12947803.159639863,2022-04-11
26,3368571.761146727,2022-04-10
27,2897957.2083514757,2022-04-09
28,5940547.428336218,2022-04-08
29,6820327.280297061,2022-04-07
30,12460942.682125032,2022-04-06
31,6884104.074630251,2022-04-05
32,6137725.657699797,2022-04-04
33,5844320.646438604,2022-04-03
34,5229796.754104411,2022-04-02
35,17861433.707220387,2022-04-01
36,13583917.990415182,2022-03-31
37,7420233.699387959,2022-03-30
38,7598727.749266096,2022-03-29
39,7567748.479264965,2022-03-28
40,3719258.1669083806,2022-03-27
41,3056718.1369865118,2022-03-26
42,6494149.611640875,2022-03-25
43,8430455.928841447,2022-03-24
44,6324197.44943788,2022-03-23
45,5124267.506247481,2022-03-22
46,5148946.792147794,2022-03-21
47,5035384.57198662,2022-03-20
48,5588111.209834306,2022-03-19
49,5116583.186150396,2022-03-18
50,4768427.724873603,2022-03-17
51,7732954.795560485,2022-03-16
52,4661627.0976729095,2022-03-15
53,5124283.2201904245,2022-03-14
54,3779460.4419615436,2022-03-13
55,3180011.4773372235,2022-03-12
56,5293913.267825794,2022-03-11
57,4725449.130257912,2022-03-10
58,8004525.644782174,2022-03-09
59,5531076.096488898,2022-03-08
60,6585688.764290116,2022-03-07
61,4724531.984627119,2022-03-06
62,4307635.860619931,2022-03-05
63,12614847.750000702,2022-03-04
64,6705020.213521955,2022-03-03
65,7369522.045800635,2022-03-02
66,8745821.045618262,2022-03-01
67,9633450.04031682,2022-02-28
68,9682993.394077221,2022-02-27
69,5424655.625971356,2022-02-26
70,6948906.323155993,2022-02-25
71,14688590.275160726,2022-02-24
72,4644013.526864132,2022-02-23
73,5469249.205735945,2022-02-22
74,8315990.216083323,2022-02-21
75,5378979.126626598,2022-02-20
76,3719579.8799001602,2022-02-19
77,4200474.125935803,2022-02-18
78,5771024.60070594,2022-02-17
79,5247369.988795527,2022-02-16
80,6322705.146946087,2022-02-15
81,5746996.043537423,2022-02-14
82,4765879.099168885,2022-02-13
83,5029495.322314829,2022-02-12
84,9690335.209439417,2022-02-11
85,7978919.432799118,2022-02-10
86,6146316.591650599,2022-02-09
87,5896092.415148196,2022-02-08
88,9437774.496621493,2022-02-07
89,3354256.976702396,2022-02-06
90,5394633.1847636225,2022-02-05
91,15339742.096642422,2022-02-04
92,4681445.082327985,2022-02-03
93,7910170.425779484,2022-02-02
94,4581440.316245348,2022-02-01
95,5973945.520911535,2022-01-31
96,4613632.506749198,2022-01-30
97,4427994.190920604,2022-01-29
98,6169647.827513292,2022-01-28
99,8055431.623789936,2022-01-27
100,11422788.421527747,2022-01-26
101,9253047.75891102,2022-01-25
102,14276184.500471897,2022-01-24
103,7593512.968977253,2022-01-23
104,12166457.45483024,2022-01-22
105,18374074.780658577,2022-01-21
106,8867013.46444312,2022-01-20
107,11226567.99305752,2022-01-19
108,9517487.153441263,2022-01-18
109,5088577.202890306,2022-01-17
110,5683294.418239059,2022-01-16
111,4553053.328408635,2022-01-15
112,5816016.148459311,2022-01-14
113,4604658.808276401,2022-01-13
114,5523629.814318898,2022-01-12
115,4517999.824452365,2022-01-11
116,8300038.125153125,2022-01-10
117,5879922.573283525,2022-01-09
118,8171906.472637346,2022-01-08
119,24055845.15364457,2022-01-07
120,9807890.031807717,2022-01-06
121,8983158.211416652,2022-01-05
122,5076193.004385885,2022-01-04
123,4868550.396657085,2022-01-03
124,3932583.8599687177,2022-01-02
125,3443590.8437475874,2022-01-01
126,6184582.9501767,2021-12-31
127,4661295.448333163,2021-12-30
128,4478755.056575094,2021-12-29
129,8119898.89948492,2021-12-28
130,7185502.207628434,2021-12-27
131,23809388.943919145,2021-12-26
132,12025137.458287863,2021-12-25
133,9771820.752233041,2021-12-24
134,7331320.599473591,2021-12-23
135,5532381.963499322,2021-12-22
136,6573757.8734144205,2021-12-21
137,9451215.246523803,2021-12-20
138,7272306.947944784,2021-12-19
139,7225260.941078753,2021-12-18
140,9341308.573349657,2021-12-17
141,9586888.974085003,2021-12-16
142,10839793.407438401,2021-12-15
143,14973762.67810394,2021-12-14
144,9307244.996715588,2021-12-13
145,4716290.638489296,2021-12-12
146,6794423.168051933,2021-12-11
147,24289405.55846371,2021-12-10
148,11045452.406712372,2021-12-09
149,10229261.225242745,2021-12-08
150,9006979.41774137,2021-12-07
151,15178590.625031205,2021-12-06
152,7151950.838866936,2021-12-05
153,12557442.508790424,2021-12-04
154,8842388.655158104,2021-12-03
155,8906246.690356545,2021-12-02
156,9000103.992712721,2021-12-01
157,11343237.881708166,2021-11-30
158,7065102.6943972735,2021-11-29
159,10061313.765071388,2021-11-28
160,6030617.231900728,2021-11-27
161,15702758.81195478,2021-11-26
162,7456790.419062611,2021-11-25
163,9876186.978653288,2021-11-24
164,9556695.157042205,2021-11-23
165,10653414.021789826,2021-11-22
166,7155222.526051323,2021-11-21
167,8140598.884924514,2021-11-20
168,23196075.998323184,2021-11-19
169,22527306.318958703,2021-11-18
170,25210546.183282018,2021-11-17
171,16246360.172004437,2021-11-16
172,7978388.688049709,2021-11-15
173,8913001.997683765,2021-11-14
174,10392673.783600437,2021-11-13
175,8877212.194676284,2021-11-12
176,0.0,2021-11-11
